"","CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR"
"71","Sherburne County, Minnesota","84576","1809","484","1032","20","236",2014
"72","Sibley County, Minnesota","14648","47","25","106","0","122",2014
"73","Stearns County, Minnesota","138837","5373","583","2958","23","1676",2014
"74","Steele County, Minnesota","33620","881","30","319","0","952",2014
"75","Stevens County, Minnesota","9017","65","146","170","27","124",2014
"76","Swift County, Minnesota","9265","114","37","29","0","71",2014
"77","Todd County, Minnesota","23310","90","88","85","0","657",2014
"78","Traverse County, Minnesota","3218","6","157","0","0","8",2014
"79","Wabasha County, Minnesota","20995","91","45","65","0","65",2014
"80","Wadena County, Minnesota","13283","141","136","39","0","11",2014
"81","Waseca County, Minnesota","17963","454","115","152","0","105",2014
"82","Washington County, Minnesota","213514","9044","870","12576","110","1788",2014
"83","Watonwan County, Minnesota","10425","83","49","82","22","336",2014
"84","Wilkin County, Minnesota","6370","24","62","10","0","4",2014
"85","Winona County, Minnesota","48280","683","182","1268","24","381",2014
"86","Wright County, Minnesota","120515","1330","535","1401","3","1418",2014
"87","Yellow Medicine County, Minnesota","9534","28","340","44","0","104",2014
"88","Aitkin County, Minnesota","15225","68","346","53","1","21",2010
"89","Anoka County, Minnesota","289757","15995","2037","13369","72","5579",2010
"90","Becker County, Minnesota","29021","147","2406","144","7","97",2010
"91","Beltrami County, Minnesota","33650","386","9109","415","49","118",2010
"92","Benton County, Minnesota","36841","954","195","438","0","42",2010
"93","Big Stone County, Minnesota","5084","14","13","2","0","7",2010
"94","Blue Earth County, Minnesota","59808","1970","234","1299","15","267",2010
"95","Brown County, Minnesota","24882","99","29","99","16","193",2010
"96","Carlton County, Minnesota","31760","467","1933","232","5","92",2010
"97","Carver County, Minnesota","87324","1015","163","2485","74","1116",2010
"98","Cass County, Minnesota","24352","106","2935","131","74","26",2010
"99","Chippewa County, Minnesota","11493","94","61","68","117","149",2010
"100","Chisago County, Minnesota","51396","613","293","374","7","256",2010
"101","Clay County, Minnesota","55694","960","765","690","20","467",2010
"102","Clearwater County, Minnesota","7590","17","766","41","7","7",2010
"103","Cook County, Minnesota","4534","50","366","44","21","55",2010
"104","Cottonwood County, Minnesota","10657","65","51","257","26","422",2010
"105","Crow Wing County, Minnesota","60757","480","712","315","0","86",2010
"106","Dakota County, Minnesota","342532","20814","1402","18164","235","10740",2010
"107","Dodge County, Minnesota","19614","107","31","101","0","179",2010
"108","Douglas County, Minnesota","35590","191","100","82","2","61",2010
"109","Faribault County, Minnesota","14002","56","49","56","0","50",2010
"110","Fillmore County, Minnesota","20492","75","33","58","0","35",2010
"111","Freeborn County, Minnesota","29496","297","105","301","12","445",2010
"112","Goodhue County, Minnesota","43999","557","514","257","0","233",2010
"113","Grant County, Minnesota","5840","6","16","23","0","16",2010
"114","Hennepin County, Minnesota","886047","141240","8458","77744","484","27761",2010
"115","Houston County, Minnesota","18359","46","49","30","0","37",2010
"116","Hubbard County, Minnesota","19406","131","404","90","10","74",2010
"117","Isanti County, Minnesota","36720","235","199","279","6","73",2010
"118","Itasca County, Minnesota","42195","188","1406","182","32","157",2010
"119","Jackson County, Minnesota","9809","14","18","236","2","117",2010
"120","Kanabec County, Minnesota","15597","27","190","67","0","13",2010
"121","Kandiyohi County, Minnesota","38837","1239","213","193","0","1239",2010
"122","Kittson County, Minnesota","4423","20","6","20","0","3",2010
"123","Koochiching County, Minnesota","12332","97","427","63","0","1",2010
"124","Lac qui Parle County, Minnesota","6885","34","26","62","0","9",2010
"125","Lake County, Minnesota","10478","11","30","0","0","46",2010
"126","Lake of the Woods County, Minnesota","3767","35","15","27","0","0",2010
"127","Le Sueur County, Minnesota","26493","162","106","145","0","478",2010
"128","Lincoln County, Minnesota","5676","28","8","12","0","71",2010
"129","Lyon County, Minnesota","23169","692","138","813","0","756",2010
"130","McLeod County, Minnesota","34583","242","51","232","0","568",2010
"131","Mahnomen County, Minnesota","2691","33","2254","23","4","40",2010
"132","Marshall County, Minnesota","9223","32","43","15","0","35",2010
"133","Martin County, Minnesota","20038","75","36","106","0","36",2010
"134","Meeker County, Minnesota","22554","101","75","86","9","84",2010
"135","Mille Lacs County, Minnesota","23601","169","1399","115","0","75",2010
"136","Morrison County, Minnesota","32167","123","59","161","0","100",2010
"137","Mower County, Minnesota","36293","986","64","749","44","462",2010
"138","Murray County, Minnesota","8327","28","15","49","32","37",2010
"139","Nicollet County, Minnesota","30915","817","82","333","0","306",2010
"140","Nobles County, Minnesota","17811","860","53","1164","5","1316",2010
"141","Norman County, Minnesota","6292","29","125","34","12","51",2010
"142","Olmsted County, Minnesota","126696","7494","192","8271","10","1087",2010
"143","Otter Tail County, Minnesota","55104","625","231","321","8","384",2010
"144","Pennington County, Minnesota","13176","217","165","77","57","36",2010
"145","Pine County, Minnesota","26878","663","754","182","12","180",2010
"146","Pipestone County, Minnesota","8808","97","103","94","12","140",2010
"147","Polk County, Minnesota","29286","358","291","235","14","636",2010
"148","Pope County, Minnesota","10722","55","47","33","0","16",2010
"149","Ramsey County, Minnesota","364112","57758","3338","66564","151","9346",2010
"150","Red Lake County, Minnesota","3888","36","53","11","0","23",2010
"151","Redwood County, Minnesota","14117","104","792","545","0","104",2010
"152","Renville County, Minnesota","14550","108","134","83","0","339",2010
"153","Rice County, Minnesota","58410","2297","289","1335","64","1370",2010
"154","Rock County, Minnesota","9282","45","106","89","0","21",2010
"155","Roseau County, Minnesota","14618","92","156","412","0","29",2010
"156","St. Louis County, Minnesota","186183","3098","4347","1881","43","382",2010
"157","Scott County, Minnesota","116503","3938","995","7801","166","2008",2010
"158","Sherburne County, Minnesota","84576","1809","484","1032","20","236",2010
"159","Sibley County, Minnesota","14648","47","25","106","0","122",2010
"160","Stearns County, Minnesota","138837","5373","583","2958","23","1676",2010
"161","Steele County, Minnesota","33620","881","30","319","0","952",2010
"162","Stevens County, Minnesota","9017","65","146","170","27","124",2010
"163","Swift County, Minnesota","9265","114","37","29","0","71",2010
"164","Todd County, Minnesota","23310","90","88","85","0","657",2010
"165","Traverse County, Minnesota","3218","6","157","0","0","8",2010
"166","Wabasha County, Minnesota","20995","91","45","65","0","65",2010
"167","Wadena County, Minnesota","13283","141","136","39","0","11",2010
"168","Waseca County, Minnesota","17963","454","115","152","0","105",2010
"169","Washington County, Minnesota","213514","9044","870","12576","110","1788",2010
"170","Watonwan County, Minnesota","10425","83","49","82","22","336",2010
"171","Wilkin County, Minnesota","6370","24","62","10","0","4",2010
"172","Winona County, Minnesota","48280","683","182","1268","24","381",2010
"173","Wright County, Minnesota","120515","1330","535","1401","3","1418",2010
"174","Yellow Medicine County, Minnesota","9534","28","340","44","0","104",2010
