CTYNAME,YEAR,CTYCODE,MIDTERM,TOTVOTERS,SOCIALCAP.Religious2014,SOCIALCAP.Civic2014,SOCIALCAP.Business2014,SOCIALCAP.Political2014,SOCIALCAP.Professional2014,SOCIALCAP.Labor2014,SOCIALCAP.Bowling2014,SOCIALCAP.Recreational2014,SOCIALCAP.Golf2014,SOCIALCAP.Sports2014,SOCIALCAP.pop2014,SOCIALCAP.assn2014,SOCIALCAP.pvote2012,SOCIALCAP.respn2010,SOCIALCAP.nccs2014,SOCIALCAP.sk2014,SOCIALCAP.relig09,SOCIALCAP.civic09,SOCIALCAP.bus09,SOCIALCAP.pol09,SOCIALCAP.prof09,SOCIALCAP.labor09,SOCIALCAP.bowl09,SOCIALCAP.fitns09,SOCIALCAP.golf09,SOCIALCAP.sport09,SOCIALCAP.pop09,SOCIALCAP.respn10,SOCIALCAP.pvote08,SOCIALCAP.nccs09,SOCIALCAP.assn09,SOCIALCAP.sk09,HOUSE.Congress (Years),HOUSE.# of House Seats,HOUSE.Democrats,HOUSE.Republicans,HOUSE.Other,HOUSE.Del./Res.,SENATE.Session,SENATE.Total Seats,SENATE.Democrat,SENATE.Republican,SENATE.Other Parties,STATELEGIS.Session,STATELEGIS.House,STATELEGIS.Senate,STATELEGIS.Governor,VOTE_ELI.HD01_VD09,VOTE_ELI.HD01_VD11,VOTE_ELI.HD01_VD20,VOTE_ELI.HD01_VD22,VOTE_ELIGIBLE,Citizen: Total,Citizen: US Born,Citizen: Puerto Rico/US Islands Born,Citizen: Born Abroad,Citizen: Naturalization,Not Citizen,Percent Married,Percent Divorced,POPULATION,WHITE,BLACK,INDIAN,ASIAN,HAWAIIAN,OTHERS,X1,TOTALMALE,TOTALFEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE18ABOVE,POPULATION 18-24,HIGHSCHOOL DEGREE,BACHELOR'S DEGREE,POPULATION >25,HIGHSCHOOL DEGREE >25,BACHELOR'S DEGREE >25,GRADUATE DEGREE >25,INCOME.GEO.id,INCOME.GEO.id2,INCOME.GEO.display-label,INCOME.HC01_EST_VC01,INCOME.HC01_MOE_VC01,INCOME.HC02_EST_VC01,INCOME.HC02_MOE_VC01,INCOME.HC03_EST_VC01,INCOME.HC03_MOE_VC01,INCOME.HC04_EST_VC01,INCOME.HC04_MOE_VC01,INCOME.HC01_EST_VC02,INCOME.HC01_MOE_VC02,INCOME.HC02_EST_VC02,INCOME.HC02_MOE_VC02,INCOME.HC03_EST_VC02,INCOME.HC03_MOE_VC02,INCOME.HC04_EST_VC02,INCOME.HC04_MOE_VC02,INCOME.HC01_EST_VC03,INCOME.HC01_MOE_VC03,INCOME.HC02_EST_VC03,INCOME.HC02_MOE_VC03,INCOME.HC03_EST_VC03,INCOME.HC03_MOE_VC03,INCOME.HC04_EST_VC03,INCOME.HC04_MOE_VC03,INCOME.HC01_EST_VC04,INCOME.HC01_MOE_VC04,INCOME.HC02_EST_VC04,INCOME.HC02_MOE_VC04,INCOME.HC03_EST_VC04,INCOME.HC03_MOE_VC04,INCOME.HC04_EST_VC04,INCOME.HC04_MOE_VC04,INCOME.HC01_EST_VC05,INCOME.HC01_MOE_VC05,INCOME.HC02_EST_VC05,INCOME.HC02_MOE_VC05,INCOME.HC03_EST_VC05,INCOME.HC03_MOE_VC05,INCOME.HC04_EST_VC05,INCOME.HC04_MOE_VC05,INCOME.HC01_EST_VC06,INCOME.HC01_MOE_VC06,INCOME.HC02_EST_VC06,INCOME.HC02_MOE_VC06,INCOME.HC03_EST_VC06,INCOME.HC03_MOE_VC06,INCOME.HC04_EST_VC06,INCOME.HC04_MOE_VC06,INCOME.HC01_EST_VC07,INCOME.HC01_MOE_VC07,INCOME.HC02_EST_VC07,INCOME.HC02_MOE_VC07,INCOME.HC03_EST_VC07,INCOME.HC03_MOE_VC07,INCOME.HC04_EST_VC07,INCOME.HC04_MOE_VC07,INCOME.HC01_EST_VC08,INCOME.HC01_MOE_VC08,INCOME.HC02_EST_VC08,INCOME.HC02_MOE_VC08,INCOME.HC03_EST_VC08,INCOME.HC03_MOE_VC08,INCOME.HC04_EST_VC08,INCOME.HC04_MOE_VC08,INCOME.HC01_EST_VC09,INCOME.HC01_MOE_VC09,INCOME.HC02_EST_VC09,INCOME.HC02_MOE_VC09,INCOME.HC03_EST_VC09,INCOME.HC03_MOE_VC09,INCOME.HC04_EST_VC09,INCOME.HC04_MOE_VC09,INCOME.HC01_EST_VC10,INCOME.HC01_MOE_VC10,INCOME.HC02_EST_VC10,INCOME.HC02_MOE_VC10,INCOME.HC03_EST_VC10,INCOME.HC03_MOE_VC10,INCOME.HC04_EST_VC10,INCOME.HC04_MOE_VC10,INCOME.HC01_EST_VC11,INCOME.HC01_MOE_VC11,INCOME.HC02_EST_VC11,INCOME.HC02_MOE_VC11,INCOME.HC03_EST_VC11,INCOME.HC03_MOE_VC11,INCOME.HC04_EST_VC11,INCOME.HC04_MOE_VC11,INCOME.HC01_EST_VC13,INCOME.HC01_MOE_VC13,INCOME.HC02_EST_VC13,INCOME.HC02_MOE_VC13,INCOME.HC03_EST_VC13,INCOME.HC03_MOE_VC13,INCOME.HC04_EST_VC13,INCOME.HC04_MOE_VC13,INCOME.HC01_EST_VC15,INCOME.HC01_MOE_VC15,INCOME.HC02_EST_VC15,INCOME.HC02_MOE_VC15,INCOME.HC03_EST_VC15,INCOME.HC03_MOE_VC15,INCOME.HC04_EST_VC15,INCOME.HC04_MOE_VC15,INCOME.HC01_EST_VC18,INCOME.HC01_MOE_VC18,INCOME.HC02_EST_VC18,INCOME.HC02_MOE_VC18,INCOME.HC03_EST_VC18,INCOME.HC03_MOE_VC18,INCOME.HC04_EST_VC18,INCOME.HC04_MOE_VC18,INCOME.HC01_EST_VC19,INCOME.HC01_MOE_VC19,INCOME.HC02_EST_VC19,INCOME.HC02_MOE_VC19,INCOME.HC03_EST_VC19,INCOME.HC03_MOE_VC19,INCOME.HC04_EST_VC19,INCOME.HC04_MOE_VC19,INCOME.HC01_EST_VC20,INCOME.HC01_MOE_VC20,INCOME.HC02_EST_VC20,INCOME.HC02_MOE_VC20,INCOME.HC03_EST_VC20,INCOME.HC03_MOE_VC20,INCOME.HC04_EST_VC20,INCOME.HC04_MOE_VC20,EMPLOY.GEO.id,EMPLOY.GEO.id2,EMPLOY.HC01_EST_VC01,EMPLOY.HC01_MOE_VC01,EMPLOY.HC02_EST_VC01,EMPLOY.HC02_MOE_VC01,EMPLOY.HC03_EST_VC01,EMPLOY.HC03_MOE_VC01,EMPLOY.HC04_EST_VC01,EMPLOY.HC04_MOE_VC01,OCC.HC01_EST_VC01,OCC.HC01_EST_VC02,OCC.HC01_EST_VC03,OCC.HC01_EST_VC04,OCC.HC01_EST_VC05,OCC.HC01_EST_VC06,OCC.HC01_EST_VC07,OCC.HC01_EST_VC08,OCC.HC01_EST_VC09,OCC.HC01_EST_VC10,OCC.HC01_EST_VC11,OCC.HC01_EST_VC12,OCC.HC01_EST_VC13,OCC.HC01_EST_VC14,VOTEPERCENT,OCC.Agriculture,OCC.Construction,OCC.Manufacturing,OCC.WholesaleTrade,OCC.RetailTrade,OCC.Transportation,OCC.Information,OCC.Finance,OCC.Professional,OCC.Education,OCC.Arts,OCC.OtherServices,OCC.PublicAdmin
itasca,2010,31,1,19835,35,11,3,0,0,3,2,2,3,0,45516,1.2962474734159415,0.796875,0.66,325,0.7108503582528659,33,11,2,1,0,4,2,4,4,0,45066,0.66,0.6917232,328,1.3535703190875605,0.6266049673049201,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,17327,48,17278,184,34837,44835,44136,0,227,270,202,60.8,10.4,44835,42195,188,1406,182,32,157,55,22509,22326,4.8,5,4.6,4.9,5.1,4.8,78,3183,39.1,9,31798,34,14.7,6.2,0500000US27061,27061,"Itasca County, Minnesota",18998,415,12996,389,10956,328,6002,323,6.8,0.9,2.9,0.9,1.0,0.4,16.5,2.7,6.7,0.9,3,0.7,1.4,0.4,15.6,2.5,13.6,1.3,9.9,1.3,7.3,1.2,22.4,2.4,11.8,1.2,11.1,1.4,9.7,1.5,12.9,2,15.6,1.2,16,1.4,16.5,1.5,15,2.3,21.4,1.4,24.6,1.9,26.5,2.0,13.3,2.7,12.2,1,15.8,1.5,18.0,1.8,3.3,1.1,9.6,1.1,13.3,1.5,15.5,1.8,0.7,0.3,0.9,0.3,1.1,0.4,1.2,0.5,0.3,0.4,1.6,0.5,2.4,0.7,2.8,0.9,0,0.3,45621,1854,56890,2170,62016,1502,23152,1248,55338,1471,66012,1954,72331,2456,29730,1504,24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.6,(X),0500000US27061,27061,36282,93,59.9,1.1,54.6,1.2,8.8,1.2,19810,934,1742,2090,511,2564,1015,224,779,1146,5146,1902,729,1028,0.5693659040675144,0.04714790509843513,0.08793538616860172,0.10550227158001009,0.025795053003533568,0.12942958101968702,0.05123674911660778,0.011307420494699646,0.03932357395254922,0.05784957092377587,0.25976779404341244,0.09601211509338718,0.03679959616355376,0.05189298334174659
itasca,2014,31,1,19117,35,11,3,0,0,3,2,2,3,0,45516,1.2962474734159415,0.796875,0.66,325,0.7108503582528659,33,11,2,1,0,4,2,4,4,0,45066,0.66,0.6917232,328,1.3535703190875605,0.6266049673049201,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,17609,102,17583,129,35423,45303,44658,26,191,265,163,57.6,11.3,45303,42195,188,1406,182,32,157,229,22904,22399,4.9,5.2,4.5,4.8,4.8,4.8,78.5,3171,33.9,4,32410,33.7,14.5,7.2,0500000US27061,27061,"Itasca County, Minnesota",18821,377,12904,393,10396,385,5917,359,6.2,0.9,3.4,1,1.1,0.4,13.2,2.1,5.9,0.9,3.4,0.9,1.8,0.7,11.7,2,12.3,1.3,8.8,1.2,6.3,1.0,22.1,2.9,12.1,1.1,11.5,1.3,9.5,1.1,13.4,2,16.4,1.4,16.2,1.8,16.5,2.1,16.8,3,21.3,1.2,24.1,1.7,26.2,1.9,13.3,2.4,12,1.2,14.5,1.5,17.0,1.9,5.7,1.7,10.7,1,14,1.4,16.8,1.7,2.6,0.8,1.9,0.4,2.3,0.5,2.7,0.6,0.7,0.5,1.4,0.4,1.8,0.5,2.2,0.6,0.5,0.3,47122,1574,56673,1589,64053,2730,26594,1772,58443,1527,66957,2053,74484,2483,36943,2525,28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X),0500000US27061,27061,36757,94,58.5,1.4,53.8,1.5,8,1,19785,946,1441,1972,412,2219,1191,147,867,1356,5168,2408,779,879,0.5396776105919883,0.047814000505433406,0.07283295425827647,0.09967146828405357,0.020823856456911802,0.11215567349001769,0.060197119029567855,0.007429871114480667,0.043821076573161484,0.06853677028051554,0.26120798584786453,0.1217083649229214,0.039373262572656054,0.0444275966641395
jackson,2002,32,1,5139,22,2,1,0,0,0,1,1,3,0,10247,2.927686152044501,0.8224780369584974,0.81,84,2.4109556882294023,24,4,1,0,0,0,1,2,3,0,10276,0.81,0.654446,112,3.4059945504087192,2.625027238030969,107th (2001–2003),435,213,220,Independent (2),4/1,107 (2001-2003),100,50,49,1,"82nd, 2001-2002",Republican,DFL,Reform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jackson,2006,32,1,5029,22,2,1,0,0,0,1,1,3,0,10247,2.927686152044501,0.8224780369584974,0.81,84,2.4109556882294023,24,4,1,0,0,0,1,2,3,0,10276,0.81,0.654446,112,3.4059945504087192,2.625027238030969,109th (2005–2007),435,201,233,Independent (1),4/1,109 (2005-2007),100,44,55,1,"84th, 2005-2006",Republican,DFL,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jackson,2010,32,1,4363,22,2,1,0,0,0,1,1,3,0,10247,2.927686152044501,0.8224780369584974,0.81,84,2.4109556882294023,24,4,1,0,0,0,1,2,3,0,10276,0.81,0.654446,112,3.4059945504087192,2.625027238030969,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,3974,34,3853,77,7938,10403,10095,8,21,142,137,63.4,7.8,10403,9809,14,18,236,2,117,56,5230,5173,4.8,5.5,4,4.7,4.9,4.4,77.3,758,31.1,9.5,7286,36.3,13.1,3.1,0500000US27063,27063,"Jackson County, Minnesota",4531,153,2980,127,2581,125,1551,136,7,1.6,3.8,1.7,1.4,1.1,14.7,4,6.1,1.3,2.2,1,2.6,1.1,13.6,3.2,10.2,2,7.2,1.9,6.3,1.9,15.8,3.9,12.4,2.3,8.3,2.2,6.7,1.9,21.7,5.5,17,2.5,16.3,2.2,14.9,2.3,18.6,5.5,22.4,2.3,28.4,3.1,29.6,3.1,8.4,2.5,11.7,1.7,15.6,2.3,17.6,2.7,3.9,3,8.5,1.7,12,2.3,13.7,2.5,2.6,1.7,2.7,0.8,3.4,1.2,4.0,1.4,0.5,0.6,1.9,0.7,2.8,1,3.3,1.2,0.1,0.2,46869,2677,59238,1961,65011,2896,29639,4302,58132,2483,70705,3451,N,N,32425,2884,27,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X),0500000US27063,27063,8365,38,67.5,2.9,65.3,2.8,3.3,1.2,5463,737,291,1010,198,646,272,47,284,161,1000,386,241,190,0.5496346686822877,0.13490755994874612,0.05326743547501373,0.18488010250777961,0.036243822075782535,0.11825004576240161,0.04978949295259015,0.008603331502837269,0.051986088229910306,0.02947098663737873,0.18304960644334614,0.07065714808713161,0.04411495515284642,0.034779425224235765
jackson,2014,32,1,3905,22,2,1,0,0,0,1,1,3,0,10247,2.927686152044501,0.8224780369584974,0.81,84,2.4109556882294023,24,4,1,0,0,0,1,2,3,0,10276,0.81,0.654446,112,3.4059945504087192,2.625027238030969,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,3908,32,3863,41,7844,10260,9997,10,44,81,128,62,7.6,10260,9809,14,18,236,2,117,230,5184,5076,5,5.2,4.7,5.4,5.9,4.9,77.6,730,27,13.6,7228,35.2,14.1,4.5,0500000US27063,27063,"Jackson County, Minnesota",4442,109,2962,134,2510,131,1480,134,6.4,1.6,2.3,1.7,0.4,0.2,15.1,4.8,4.9,1.4,2.9,1.3,1.1,0.5,10.4,3.8,12,1.9,10.4,2.4,8.8,2.5,18.7,4.6,10.8,2.3,6.7,1.7,5.8,1.7,18,5.4,14.9,2.2,13.8,2.4,13.9,2.6,14.6,3.6,20.8,2.3,23.8,2.9,25.5,3.3,14.2,3.7,13.1,1.7,16.8,2.3,19.2,2.7,5.1,2.6,10.2,1.6,13.7,2,15.8,2.4,3.7,2.3,3.5,1.1,4.8,1.7,4.1,1.3,0.1,0.2,3.3,0.9,4.9,1.4,5.4,1.8,0.1,0.2,50907,2373,64217,3131,69207,2699,28669,3659,64614,3018,78294,3997,N,N,34830,3123,27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X),0500000US27063,27063,8217,32,67.9,1.8,65.1,1.8,4.1,1.5,5353,591,369,1009,160,523,262,67,189,182,1198,339,275,189,0.4978327383987761,0.11040538016065758,0.06893330842518214,0.1884924341490753,0.029889781430973286,0.09770222305249393,0.04894451709321876,0.012516345974220064,0.03530730431533719,0.033999626377732114,0.22379973846441248,0.06332897440687466,0.05137306183448533,0.03530730431533719
kanabec,2002,33,1,6533,17,3,1,0,1,0,1,3,1,0,15939,1.6939582156973463,0.792108076586646,0.82,89,0.7228627400523676,15,4,1,0,0,0,0,2,1,0,16294,0.82,0.6812826,91,1.4115625383576778,0.27749648552075035,107th (2001–2003),435,213,220,Independent (2),4/1,107 (2001-2003),100,50,49,1,"82nd, 2001-2002",Republican,DFL,Reform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kanabec,2006,33,1,6587,17,3,1,0,1,0,1,3,1,0,15939,1.6939582156973463,0.792108076586646,0.82,89,0.7228627400523676,15,4,1,0,0,0,0,2,1,0,16294,0.82,0.6812826,91,1.4115625383576778,0.27749648552075035,109th (2005–2007),435,201,233,Independent (1),4/1,109 (2005-2007),100,44,55,1,"84th, 2005-2006",Republican,DFL,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kanabec,2010,33,1,6593,17,3,1,0,1,0,1,3,1,0,15939,1.6939582156973463,0.792108076586646,0.82,89,0.7228627400523676,15,4,1,0,0,0,0,2,1,0,16294,0.82,0.6812826,91,1.4115625383576778,0.27749648552075035,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,6219,21,6097,33,12370,16379,16164,0,83,61,71,57.7,10.6,16379,15597,27,190,67,0,13,57,8279,8100,4.8,5,4.5,5.1,5.4,4.8,75.8,1166,40.4,2.3,11256,42.2,10.4,3.4,0500000US27065,27065,"Kanabec County, Minnesota",6439,152,4507,159,3685,177,1932,171,5.5,1.1,4.1,1.2,1.9,0.8,11.4,3.3,5.3,1.2,2.9,0.8,1.6,0.6,12,3.3,11.9,1.6,9.1,2,7.0,1.7,19.4,3.4,12.1,1.8,10.3,1.9,7.2,1.5,16.2,4.4,20.2,2.3,21.4,2.8,21.8,2.9,17.3,3.6,21.8,1.8,23.5,1.9,26.8,2.3,15,3.8,14.2,1.6,17.5,1.9,20.3,2.2,5.8,2.3,6.8,1.2,8.5,1.5,10.3,1.7,2.4,2.1,1.6,0.9,2,1.2,2.4,1.5,0.3,0.3,0.5,0.2,0.7,0.3,0.8,0.4,0.2,0.3,45672,1818,51856,2421,58901,2313,28750,3611,53354,1838,59449,2411,N,N,35939,2639,25.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),0500000US27065,27065,12894,75,67,1.4,60.5,1.7,9.8,1.8,7795,272,890,1117,237,768,341,124,310,333,1688,889,418,408,0.5329830234438157,0.03489416292495189,0.1141757536882617,0.14329698524695317,0.03040410519563823,0.09852469531751122,0.04374599101988454,0.015907633098139834,0.039769082745349585,0.04271969211032713,0.2165490699166132,0.11404746632456703,0.0536241180243746,0.052341244387427835
kanabec,2014,33,1,6292,17,3,1,0,1,0,1,3,1,0,15939,1.6939582156973463,0.792108076586646,0.82,89,0.7228627400523676,15,4,1,0,0,0,0,2,1,0,16294,0.82,0.6812826,91,1.4115625383576778,0.27749648552075035,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,6237,24,6080,40,12381,16084,15925,0,36,64,59,55,11.6,16084,15597,27,190,67,0,13,231,8164,7920,4.9,5.2,4.6,5.1,5.2,5.1,77.3,1137,42.7,2.6,11303,39.9,8.4,5,0500000US27065,27065,"Kanabec County, Minnesota",6256,170,4272,180,3432,167,1984,147,4.8,0.8,3.8,0.9,1.0,0.3,10.4,2.1,6.3,1.1,4.9,1.4,2.3,1.0,11.8,2.4,14.7,1.7,9.7,1.9,8.4,1.9,24.3,3.5,10.1,1.3,9.5,1.4,8.0,1.5,11.7,3.3,17,1.6,17,1.9,16.3,2.1,16.7,3.4,22.7,1.9,24.4,2.5,27.4,2.7,16.4,3,11.3,1.5,13,1.9,15.2,2.2,6,3.2,9.3,1.3,13.1,1.7,15.8,2.0,1.4,0.8,2.7,0.6,3.3,0.9,4.0,1.1,0.7,0.7,1,0.4,1.2,0.4,1.5,0.5,0.5,0.5,46872,1852,54812,3005,62316,3067,27870,2672,56141,1825,63840,2408,71263,2584,35789,2582,28,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X),0500000US27065,27065,12913,41,62.6,1.2,55.6,1.5,11.3,1.9,7174,248,726,990,165,971,315,125,323,375,1705,638,332,261,0.5081980453921331,0.034569277948146085,0.10119877334820183,0.13799832729300252,0.022999721215500417,0.1353498745469752,0.043908558684137164,0.017424031223863955,0.045023696682464455,0.05227209367159186,0.23766378589350431,0.08893225536660161,0.04627822693058266,0.03638137719542794
kandiyohi,2002,34,1,18309,57,8,3,0,0,3,1,3,5,1,42465,1.9074531967502648,0.8013215365662448,0.76,277,1.135523385399956,59,8,3,0,0,3,3,7,5,0,42058,0.76,0.707477,304,2.0923486613723905,1.2621614341427678,107th (2001–2003),435,213,220,Independent (2),4/1,107 (2001-2003),100,50,49,1,"82nd, 2001-2002",Republican,DFL,Reform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
