"","X1","CTYNAME","YEAR","CTYCODE","MIDTERM","TOTVOTERS","SOCIALCAP.Religious2014","SOCIALCAP.Civic2014","SOCIALCAP.Business2014","SOCIALCAP.Political2014","SOCIALCAP.Professional2014","SOCIALCAP.Labor2014","SOCIALCAP.Bowling2014","SOCIALCAP.Recreational2014","SOCIALCAP.Golf2014","SOCIALCAP.Sports2014","SOCIALCAP.pop2014","SOCIALCAP.assn2014","SOCIALCAP.pvote2012","SOCIALCAP.respn2010","SOCIALCAP.nccs2014","SOCIALCAP.sk2014","SOCIALCAP.relig09","SOCIALCAP.civic09","SOCIALCAP.bus09","SOCIALCAP.pol09","SOCIALCAP.prof09","SOCIALCAP.labor09","SOCIALCAP.bowl09","SOCIALCAP.fitns09","SOCIALCAP.golf09","SOCIALCAP.sport09","SOCIALCAP.pop09","SOCIALCAP.respn10","SOCIALCAP.pvote08","SOCIALCAP.nccs09","SOCIALCAP.assn09","SOCIALCAP.sk09","HOUSE.Congress (Years)","HOUSE.# of House Seats","HOUSE.Democrats","HOUSE.Republicans","HOUSE.Other","HOUSE.Del./Res.","SENATE.Session","SENATE.Total Seats","SENATE.Democrat","SENATE.Republican","SENATE.Other Parties","STATELEGIS.Session","STATELEGIS.House","STATELEGIS.Senate","STATELEGIS.Governor","VOTE_ELI.HD01_VD09","VOTE_ELI.HD01_VD11","VOTE_ELI.HD01_VD20","VOTE_ELI.HD01_VD22","VOTE_ELIGIBLE","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","Percent Married","Percent Divorced","POPULATION","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","INCOME.GEO.id","INCOME.GEO.id2","INCOME.GEO.display-label","INCOME.HC01_EST_VC01","INCOME.HC01_MOE_VC01","INCOME.HC02_EST_VC01","INCOME.HC02_MOE_VC01","INCOME.HC03_EST_VC01","INCOME.HC03_MOE_VC01","INCOME.HC04_EST_VC01","INCOME.HC04_MOE_VC01","INCOME.HC01_EST_VC02","INCOME.HC01_MOE_VC02","INCOME.HC02_EST_VC02","INCOME.HC02_MOE_VC02","INCOME.HC03_EST_VC02","INCOME.HC03_MOE_VC02","INCOME.HC04_EST_VC02","INCOME.HC04_MOE_VC02","INCOME.HC01_EST_VC03","INCOME.HC01_MOE_VC03","INCOME.HC02_EST_VC03","INCOME.HC02_MOE_VC03","INCOME.HC03_EST_VC03","INCOME.HC03_MOE_VC03","INCOME.HC04_EST_VC03","INCOME.HC04_MOE_VC03","INCOME.HC01_EST_VC04","INCOME.HC01_MOE_VC04","INCOME.HC02_EST_VC04","INCOME.HC02_MOE_VC04","INCOME.HC03_EST_VC04","INCOME.HC03_MOE_VC04","INCOME.HC04_EST_VC04","INCOME.HC04_MOE_VC04","INCOME.HC01_EST_VC05","INCOME.HC01_MOE_VC05","INCOME.HC02_EST_VC05","INCOME.HC02_MOE_VC05","INCOME.HC03_EST_VC05","INCOME.HC03_MOE_VC05","INCOME.HC04_EST_VC05","INCOME.HC04_MOE_VC05","INCOME.HC01_EST_VC06","INCOME.HC01_MOE_VC06","INCOME.HC02_EST_VC06","INCOME.HC02_MOE_VC06","INCOME.HC03_EST_VC06","INCOME.HC03_MOE_VC06","INCOME.HC04_EST_VC06","INCOME.HC04_MOE_VC06","INCOME.HC01_EST_VC07","INCOME.HC01_MOE_VC07","INCOME.HC02_EST_VC07","INCOME.HC02_MOE_VC07","INCOME.HC03_EST_VC07","INCOME.HC03_MOE_VC07","INCOME.HC04_EST_VC07","INCOME.HC04_MOE_VC07","INCOME.HC01_EST_VC08","INCOME.HC01_MOE_VC08","INCOME.HC02_EST_VC08","INCOME.HC02_MOE_VC08","INCOME.HC03_EST_VC08","INCOME.HC03_MOE_VC08","INCOME.HC04_EST_VC08","INCOME.HC04_MOE_VC08","INCOME.HC01_EST_VC09","INCOME.HC01_MOE_VC09","INCOME.HC02_EST_VC09","INCOME.HC02_MOE_VC09","INCOME.HC03_EST_VC09","INCOME.HC03_MOE_VC09","INCOME.HC04_EST_VC09","INCOME.HC04_MOE_VC09","INCOME.HC01_EST_VC10","INCOME.HC01_MOE_VC10","INCOME.HC02_EST_VC10","INCOME.HC02_MOE_VC10","INCOME.HC03_EST_VC10","INCOME.HC03_MOE_VC10","INCOME.HC04_EST_VC10","INCOME.HC04_MOE_VC10","INCOME.HC01_EST_VC11","INCOME.HC01_MOE_VC11","INCOME.HC02_EST_VC11","INCOME.HC02_MOE_VC11","INCOME.HC03_EST_VC11","INCOME.HC03_MOE_VC11","INCOME.HC04_EST_VC11","INCOME.HC04_MOE_VC11","INCOME.HC01_EST_VC13","INCOME.HC01_MOE_VC13","INCOME.HC02_EST_VC13","INCOME.HC02_MOE_VC13","INCOME.HC03_EST_VC13","INCOME.HC03_MOE_VC13","INCOME.HC04_EST_VC13","INCOME.HC04_MOE_VC13","INCOME.HC01_EST_VC15","INCOME.HC01_MOE_VC15","INCOME.HC02_EST_VC15","INCOME.HC02_MOE_VC15","INCOME.HC03_EST_VC15","INCOME.HC03_MOE_VC15","INCOME.HC04_EST_VC15","INCOME.HC04_MOE_VC15","INCOME.HC01_EST_VC18","INCOME.HC01_MOE_VC18","INCOME.HC02_EST_VC18","INCOME.HC02_MOE_VC18","INCOME.HC03_EST_VC18","INCOME.HC03_MOE_VC18","INCOME.HC04_EST_VC18","INCOME.HC04_MOE_VC18","INCOME.HC01_EST_VC19","INCOME.HC01_MOE_VC19","INCOME.HC02_EST_VC19","INCOME.HC02_MOE_VC19","INCOME.HC03_EST_VC19","INCOME.HC03_MOE_VC19","INCOME.HC04_EST_VC19","INCOME.HC04_MOE_VC19","INCOME.HC01_EST_VC20","INCOME.HC01_MOE_VC20","INCOME.HC02_EST_VC20","INCOME.HC02_MOE_VC20","INCOME.HC03_EST_VC20","INCOME.HC03_MOE_VC20","INCOME.HC04_EST_VC20","INCOME.HC04_MOE_VC20","VOTEPERCENT","PresYear","HOUSE.Control","SENATE.Control","MONEY.House","MONEY.Governor","MONEY.StateOther","MONEY.StateSenate","MONEY.StateHouse","MONEY.Senate","MONEY.President"
"353",353,"anoka",2012,2,0,187085,140,25,8,0,4,10,7,37,8,1,341742,0.702284179293151,0.81010101010101,0.84,987,-0.566701776658845,125,38,8,1,4,9,10,29,9,0,329635,0.84,0.7527615,936,0.706842416612314,-0.378946813560595,"112th (2011–2013)",435,193,242,"0","5/1","112 (2011-2013)",100,51,47,2,"87th, 2011-2012","Republican","Republican","DFL",112161,4892,114015,5388,236456,331649,307104,328,1603,11551,11063,"55.1","10.3",331649,288614,13811,2163,13395,69,5236,"0500000US27003",27003,"Anoka County, Minnesota",121596,548,86735,955,"69280","921",34861,865,3.1,0.3,2,0.3,"0.9","0.2",6.9,0.9,3.1,0.3,1.4,0.2,"0.6","0.2",7.6,0.9,6.9,0.4,4.4,0.4,"2.6","0.4",14.1,1.2,7.4,0.5,5.9,0.5,"4.1","0.4",12.4,1.1,13.2,0.5,11.3,0.6,"9.2","0.6",18.3,1.2,20.4,0.8,20,0.8,"19.0","0.9",21.3,1.4,17.5,0.6,19.7,0.8,"21.8","0.9",11.1,1,19,0.6,23.4,0.8,"27.4","1.0",6.5,0.8,5.9,0.4,7.6,0.5,"9.1","0.7",1,0.3,3.4,0.3,4.4,0.4,"5.3","0.5",0.7,0.3,69916,1037,81380,1431,90527,1382,42003,1040,81254,1119,92039,1363,"101680","1547",50299,1641,23.1,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",23,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",20.5,"(X)",0.791204283249315,1,1,0,36082926.58,NA,NA,5497106.57,6485471.49,11640043.47,1514733803.02
"354",354,"anoka",2016,2,0,187070,140,25,8,0,4,10,7,37,8,1,341742,0.702284179293151,0.81010101010101,0.84,987,-0.566701776658845,125,38,8,1,4,9,10,29,9,0,329635,0.84,0.7527615,936,0.706842416612314,-0.378946813560595,"114th (2015–2017)",435,188,247,"0","5/1","114 (2015-2017)",100,44,54,2,"89th, 2015-2016","Republican","DFL","DFL",117373,6166,117802,7173,248514,341249,313854,204,2267,14501,10423,"54.6","10.6",341249,291633,17750,2246,14142,107,5092,"0500000US27003",27003,"Anoka County, Minnesota",125260,530,90305,911,"71051","1013",34955,854,3.2,0.3,2.1,0.3,"0.9","0.2",7.1,0.7,2.4,0.3,1.3,0.2,"0.5","0.1",5.6,0.7,7,0.4,4,0.4,"2.1","0.3",16,0.9,7,0.4,5.7,0.5,"3.9","0.4",11.4,0.9,11.9,0.5,9.9,0.6,"7.9","0.5",17.6,1.2,19.5,0.6,18.4,0.7,"17.1","0.8",21.8,1.2,15.8,0.6,17.8,0.7,"19.2","0.8",9.8,1,20.5,0.6,24.7,0.8,"29.1","0.9",8,0.8,7.9,0.4,10.1,0.5,"12.1","0.7",1.4,0.4,4.7,0.3,5.9,0.4,"7.3","0.5",1.4,0.4,73579,1064,86345,1319,97460,1505,42755,1364,87903,1431,99538,1780,"110783","2069",52994,1492,25.3,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.9,"(X)",0.752754371987091,1,1,1,28308227.74,NA,NA,7193557.62,8555749.75,NA,1518861921.27
"355",355,"becker",2008,3,0,17038,40,13,3,1,1,1,2,4,5,0,33246,2.10551645310714,0.777282216739419,0.7,222,1.26271331033586,36,14,4,1,1,1,2,2,5,0,32407,0.7,0.6880399,214,2.03659703150554,1.05254715341338,"110th (2007–2009)",435,233,202,"0","4/1","110 (2007-2009)",100,49,49,2,"85th, 2007-2008","DFL","DFL","Republican",11955,81,12150,196,24382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0500000US27005",27005,"Becker County, Minnesota",13344,391,8938,340,"7288","365",4406,341,6.5,1.6,3,1.1,"1.2","0.6",14.5,4.1,6.4,1.4,3.2,1.7,"1.4","0.8",13.5,3.1,13.1,1.6,8.3,1.4,"5.5","1.3",22.9,3.9,12.5,1.5,10.9,1.6,"8.9","1.4",17.4,4,16.6,2.4,15.9,2.6,"16.6","2.8",16.1,3.8,21.4,1.9,26.7,2.3,"29.5","2.6",10.7,3.9,11.1,1.3,15,1.7,"16.8","1.9",2.3,1.1,8.2,1.2,11.6,1.7,"13.8","2.0",1,0.8,1.7,0.5,2.4,0.8,"2.7","0.9",0.3,0.3,2.5,0.7,3.1,0.9,"3.5","1.0",1.2,1,44410,1439,55944,1113,59851,2889,24512,2671,58149,2338,69974,3190,"76593","3157",32124,2821,23.3,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",22.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.5,"(X)",0.698794192437044,1,0,1,NA,NA,NA,NA,8350493.94,NA,NA
"356",356,"becker",2012,3,0,16471,40,13,3,1,1,1,2,4,5,0,33246,2.10551645310714,0.777282216739419,0.7,222,1.26271331033586,36,14,4,1,1,1,2,2,5,0,32407,0.7,0.6880399,214,2.03659703150554,1.05254715341338,"112th (2011–2013)",435,193,242,"0","5/1","112 (2011-2013)",100,51,47,2,"87th, 2011-2012","Republican","Republican","DFL",12159,112,12059,184,24514,32600,32012,7,100,327,154,"58.3","11.2",32600,28787,115,2248,140,4,91,"0500000US27005",27005,"Becker County, Minnesota",13454,249,9282,217,"7341","228",4172,227,5.6,0.7,3.7,0.9,"1.0","0.4",12.2,2,6.6,1,2.9,0.9,"1.5","0.4",14.5,2.4,12.6,1.4,9.1,1.1,"5.4","0.9",22.1,3.5,11.6,1,10.4,1.1,"8.7","1.0",15,2.7,14.4,1.2,14.2,1.4,"14.7","1.7",12.9,2.4,21.5,1.4,23.4,1.5,"25.7","1.8",15.5,2.6,13.1,1.1,17,1.5,"19.8","1.8",4.8,1.4,9.9,1,13.2,1.4,"15.9","1.7",1.7,0.7,2.4,0.5,3,0.7,"3.8","0.9",0.7,0.4,2.3,0.4,3,0.6,"3.5","0.7",0.6,0.5,49159,1539,58807,1752,67357,2414,25850,2152,61038,1424,71257,1997,"80211","2376",35408,2098,29,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",28.2,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",28.7,"(X)",0.671901770416905,1,1,0,36082926.58,NA,NA,5497106.57,6485471.49,11640043.47,1514733803.02
"357",357,"becker",2016,3,0,17375,40,13,3,1,1,1,2,4,5,0,33246,2.10551645310714,0.777282216739419,0.7,222,1.26271331033586,36,14,4,1,1,1,2,2,5,0,32407,0.7,0.6880399,214,2.03659703150554,1.05254715341338,"114th (2015–2017)",435,188,247,"0","5/1","114 (2015-2017)",100,44,54,2,"89th, 2015-2016","Republican","DFL","DFL",12415,113,12204,122,24854,33375,32681,1,114,250,329,"57.3","9.8",33375,29299,154,2517,165,10,118,"0500000US27005",27005,"Becker County, Minnesota",13495,252,9155,252,"7337","229",4340,238,6.1,0.9,3.7,1,"0.7","0.3",13.1,2.2,5.4,0.7,2.7,0.8,"1.3","0.3",12.8,1.9,10.1,1.1,5.6,1,"3.7","0.9",19.3,2.6,11.9,1.2,9.4,1.1,"8.1","1.2",16.6,2.5,12.8,1.1,12.8,1.2,"11.2","1.2",13.8,2.3,21.1,1.1,24.2,1.4,"25.0","1.6",13.9,2.1,13.7,0.9,17.2,1.4,"20.6","1.4",5.2,1.6,12.6,1,16.5,1.3,"19.9","1.6",3.6,1.6,3.3,0.5,4.2,0.7,"5.1","0.9",0.7,0.6,2.9,0.5,3.7,0.7,"4.4","0.9",0.9,0.5,54115,2351,65400,1931,74922,1708,27384,1677,66607,1749,78251,2239,"87850","2714",37957,2487,30.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",29.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",30.7,"(X)",0.699082642632977,1,1,1,28308227.74,NA,NA,7193557.62,8555749.75,NA,1518861921.27
"358",358,"beltrami",2008,4,0,22313,31,7,2,0,0,1,2,6,3,0,45623,1.13977599018039,0.749931982043259,0.76,283,0.179479116298437,31,10,2,0,0,1,1,6,4,0,44226,0.76,0.6806661,290,1.24361235472347,0.315540358535692,"110th (2007–2009)",435,233,202,"0","4/1","110 (2007-2009)",100,49,49,2,"85th, 2007-2008","DFL","DFL","Republican",15272,79,16213,266,31830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0500000US27007",27007,"Beltrami County, Minnesota",15387,539,10263,459,"7865","437",5124,478,8,1.4,4.5,1.5,"2.2","1.0",16.1,3.7,7.4,1.7,2.8,1.3,"1.6","0.9",18.3,4.4,14,2.4,12.4,2.5,"8.9","2.7",17.6,5.6,8.9,1.5,8.5,1.8,"6.6","1.7",10.1,2.8,16.3,2.2,16.6,2.9,"15.9","3.0",16,3.7,19.7,2.3,21,3.1,"23.9","3.8",14.2,4,12.1,1.5,16.1,2.2,"20.0","2.8",3.9,2,10.2,1.9,13.6,2.5,"15.3","2.7",2.9,2,1.5,0.6,2.1,0.8,"2.6","1.1",0.4,0.5,1.8,0.6,2.5,0.8,"3.0","0.9",0.5,0.9,45597,2208,56291,3952,66308,4164,23646,3899,57004,3372,67580,4399,"73201","3018",33722,3679,30.1,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",30.8,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",27,"(X)",0.70100534087339,1,0,1,NA,NA,NA,NA,8350493.94,NA,NA
"359",359,"beltrami",2012,4,0,22189,31,7,2,0,0,1,2,6,3,0,45623,1.13977599018039,0.749931982043259,0.76,283,0.179479116298437,31,10,2,0,0,1,1,6,4,0,44226,0.76,0.6806661,290,1.24361235472347,0.315540358535692,"112th (2011–2013)",435,193,242,"0","5/1","112 (2011-2013)",100,51,47,2,"87th, 2011-2012","Republican","Republican","DFL",16134,130,16464,248,32976,44652,43354,0,329,451,518,"47.4","10.1",44652,33521,367,8526,357,173,104,"0500000US27007",27007,"Beltrami County, Minnesota",16688,349,10930,374,"7974","313",5758,353,8.3,1.3,6.2,1.6,"1.5","0.7",14.8,2.6,8.4,1.4,3.9,1,"2.2","0.7",17.2,3.2,11,1.2,9.1,1.2,"5.9","1.3",16.7,2.8,12.7,1.5,10.6,1.5,"7.5","1.3",16,3.5,15.1,1.6,15.6,1.9,"14.9","1.9",13.8,2.7,19.2,1.5,21.8,2.1,"25.6","2.7",12.1,2.3,11.9,1.3,14.6,1.7,"18.5","2.0",5.8,2.1,9.2,1.2,12.7,1.7,"16.7","2.2",2.2,1.1,2.4,0.6,3.1,0.9,"4.1","1.3",1.2,0.8,1.8,0.5,2.6,0.8,"3.2","1.0",0.2,0.3,44038,2231,55567,2824,67675,2045,25757,2544,56198,1817,66374,2491,"78525","2915",34248,2394,26.9,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",26.8,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",25.1,"(X)",0.672883309073265,1,1,0,36082926.58,NA,NA,5497106.57,6485471.49,11640043.47,1514733803.02
"360",360,"beltrami",2016,4,0,21718,31,7,2,0,0,1,2,6,3,0,45623,1.13977599018039,0.749931982043259,0.76,283,0.179479116298437,31,10,2,0,0,1,1,6,4,0,44226,0.76,0.6806661,290,1.24361235472347,0.315540358535692,"114th (2015–2017)",435,188,247,"0","5/1","114 (2015-2017)",100,44,54,2,"89th, 2015-2016","Republican","DFL","DFL",16529,147,16879,212,33767,45644,44509,0,299,399,437,"42.6","12.6",45644,33600,416,9621,391,48,111,"0500000US27007",27007,"Beltrami County, Minnesota",16906,285,10736,282,"7251","294",6170,331,7.1,1.2,4.6,1.2,"1.1","0.6",13.7,2.7,7.8,1.1,4.7,1.3,"2.0","0.8",13.9,2.4,12.5,1.4,10.1,1.7,"5.6","1.3",17.4,2.6,12,1.2,10.5,1.6,"7.2","1.6",14.8,2.4,15.7,1.4,14.5,1.7,"13.7","1.7",17.4,3.1,18.3,1.4,20.4,2,"22.6","2.1",13.3,2.6,12.2,1.1,15.6,1.4,"20.7","1.9",4.9,1.2,10.3,1,13.8,1.6,"19.5","2.1",3.5,1.3,2,0.4,3,0.6,"3.8","0.8",0.3,0.2,2.1,0.4,2.8,0.6,"3.8","0.9",0.8,0.5,45201,1707,54890,2689,72452,3042,26990,1590,59322,2564,70538,3756,"86306","5367",36936,2393,22.7,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",22.1,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",22.6,"(X)",0.643172328012557,1,1,1,28308227.74,NA,NA,7193557.62,8555749.75,NA,1518861921.27
"361",361,"benton",2008,5,0,19429,34,13,1,0,0,1,0,4,4,0,39439,1.44526991049469,0.78341253044763,0.84,146,0.131429589100431,30,14,0,0,0,0,0,3,4,0,38418,0.84,0.6467028,175,1.32750273309386,-0.136510367877143,"110th (2007–2009)",435,233,202,"0","4/1","110 (2007-2009)",100,49,49,2,"85th, 2007-2008","DFL","DFL","Republican",14412,89,14694,111,29306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0500000US27009",27009,"Benton County, Minnesota",15165,526,9803,457,"7818","512",5362,495,6.3,1.7,3,1.6,"0.9","0.6",13.1,4,3.8,1.4,1.6,1,"0.8","0.8",8,3.2,9,1.9,5.8,1.6,"3.4","1.2",16.4,4.3,13.4,2.7,10.3,2.5,"7.9","2.2",20.9,6.1,16.2,2.4,13.7,2.8,"13.0","2.7",19.6,5.4,21.5,2.5,27.1,3.3,"28.8","3.5",10.4,3.6,15.5,2.4,18.7,2.8,"21.3","3.5",8.6,5,10,1.4,14,1.9,"16.5","2.3",1.5,1.2,3,1,4.6,1.5,"5.7","1.8",0,0.6,1.3,0.5,1.3,0.7,"1.6","0.8",1.4,1.1,51187,3208,64556,2386,70675,3609,29662,2276,60966,2544,72291,3475,"80164","3780",38068,4669,19.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",20.2,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",17.2,"(X)",0.662970040264792,1,0,1,NA,NA,NA,NA,8350493.94,NA,NA
"362",362,"benton",2012,5,0,19755,34,13,1,0,0,1,0,4,4,0,39439,1.44526991049469,0.78341253044763,0.84,146,0.131429589100431,30,14,0,0,0,0,0,3,4,0,38418,0.84,0.6467028,175,1.32750273309386,-0.136510367877143,"112th (2011–2013)",435,193,242,"0","5/1","112 (2011-2013)",100,51,47,2,"87th, 2011-2012","Republican","Republican","DFL",13993,170,14340,229,28732,38560,37744,23,88,410,295,"53.3","8.4",38560,36567,825,184,370,0,16,"0500000US27009",27009,"Benton County, Minnesota",15421,244,9949,344,"7770","324",5472,306,7.5,1.4,5.8,1.8,"2.2","1.4",12.6,3.2,5.2,1.2,2.9,1,"0.8","0.5",10.3,2.8,12.1,1.7,5.1,1.2,"2.8","0.8",25.9,5,10.1,1.5,8.7,1.7,"7.6","1.7",13.3,3.1,14.1,1.6,11.7,1.6,"10.7","1.7",17.3,3.5,20.5,1.5,24.2,2.2,"25.7","2.4",12.9,2.4,15,1.5,19.7,2.2,"23.2","2.7",5,2.2,11.4,1.3,16.1,2,"20.0","2.4",1.6,1,2.9,0.7,4.2,1,"5.1","1.2",0.7,0.8,1.2,0.4,1.5,0.6,"1.9","0.7",0.6,0.5,51365,2397,65785,1709,75137,2885,25709,2598,60070,1899,72299,2841,"82187","3383",34597,2532,28.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",25,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",32.2,"(X)",0.687560907698733,1,1,0,36082926.58,NA,NA,5497106.57,6485471.49,11640043.47,1514733803.02
"363",363,"benton",2016,5,0,20222,34,13,1,0,0,1,0,4,4,0,39439,1.44526991049469,0.78341253044763,0.84,146,0.131429589100431,30,14,0,0,0,0,0,3,4,0,38418,0.84,0.6467028,175,1.32750273309386,-0.136510367877143,"114th (2015–2017)",435,188,247,"0","5/1","114 (2015-2017)",100,44,54,2,"89th, 2015-2016","Republican","DFL","DFL",14433,245,14268,240,29186,39457,38172,4,128,535,618,"51.3","11.0",39457,37032,1046,167,437,0,32,"0500000US27009",27009,"Benton County, Minnesota",15726,219,10318,304,"7738","275",5408,335,5.4,1.1,4,1.3,"1.8","1.1",10.9,2.5,5.1,1,1.8,0.7,"0.5","0.4",12.5,2.4,11.6,1.6,8,1.7,"3.1","1.1",20.3,3.3,10.3,1.4,9.4,1.8,"6.2","1.3",13.6,2.8,15.8,1.6,14.5,2,"13.9","2.3",16.4,2.4,19.4,1.9,21,2,"22.5","2.2",14,3.5,14.1,1.3,18.2,1.8,"22.4","2.0",5.2,1.6,12,1.3,15.7,1.6,"19.8","2.0",4.3,2.3,4.5,0.8,5.3,1,"6.8","1.2",2.4,1.4,1.9,0.4,2.3,0.7,"3.0","0.9",0.5,0.3,51841,2553,63579,3276,77937,2703,28955,3082,64567,1997,74460,2412,"86381","2570",40444,4058,30.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",30,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",29.9,"(X)",0.692866442815048,1,1,1,28308227.74,NA,NA,7193557.62,8555749.75,NA,1518861921.27
"364",364,"big stone",2008,6,0,3023,15,3,0,0,0,0,1,0,1,0,5125,3.90243902439024,0.753376553214479,0.82,61,3.63833846386084,15,3,0,0,0,0,1,1,1,0,5285,0.82,0.6922899,70,3.97350993377483,3.64475222649029,"110th (2007–2009)",435,233,202,"0","4/1","110 (2007-2009)",100,49,49,2,"85th, 2007-2008","DFL","DFL","Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8350493.94,NA,NA
"365",365,"big stone",2012,6,0,2816,15,3,0,0,0,0,1,0,1,0,5125,3.90243902439024,0.753376553214479,0.82,61,3.63833846386084,15,3,0,0,0,0,1,1,1,0,5285,0.82,0.6922899,70,3.97350993377483,3.64475222649029,"112th (2011–2013)",435,193,242,"0","5/1","112 (2011-2013)",100,51,47,2,"87th, 2011-2012","Republican","Republican","DFL",2012,2,2101,14,4129,5250,5199,1,15,16,19,"61.6","7.1",5250,5162,17,11,2,0,4,"0500000US27011",27011,"Big Stone County, Minnesota",2329,77,1596,88,"1318","82",733,69,7.3,1.8,2.8,1.4,"1.5","1.0",17.5,5.1,8.8,2.2,6.1,2.2,"3.9","2.1",15.1,4.2,12.7,2.5,10.3,2.6,"7.0","2.2",21.8,5.4,9.8,2.3,9.3,2.5,"8.6","2.3",11.2,4.2,16.9,2.6,18.2,3.2,"18.6","3.5",13.6,4.6,22.5,3.1,24.2,3.7,"26.3","4.3",14.6,5.3,9.1,1.7,11.6,2.4,"13.2","2.8",3.8,2.3,7.9,1.6,10.7,2.4,"12.7","2.8",2,1.7,2.9,1.3,4.1,1.8,"5.0","2.2",0,2.4,2,0.9,2.8,1.3,"3.2","1.5",0.3,0.4,45545,2409,52500,3372,58971,5641,23271,2485,55554,3213,65787,4451,"N","N",31317,3042,27.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.4,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",29.7,"(X)",0.682005328166626,1,1,0,36082926.58,NA,NA,5497106.57,6485471.49,11640043.47,1514733803.02
